City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Xingyi,CN,24.1877,102.817,58.87,99,100,2.93,overcast clouds
237,Rawah,IQ,34.4816,41.9093,78.75,7,50,7.25,scattered clouds
238,Oskarshamn,SE,57.2645,16.4484,48.97,60,100,8.1,overcast clouds
239,Antalaha,MG,-14.9003,50.2788,73.22,93,91,6.24,moderate rain
240,Sola,VU,-13.8833,167.55,80.85,76,34,6.26,scattered clouds
241,Iqaluit,CA,63.7506,-68.5145,31.73,93,100,36.82,overcast clouds
242,Kavaratti,IN,10.5669,72.642,83.37,78,99,16.84,overcast clouds
243,Nabagram,IN,22.2881,88.5092,82.38,60,100,15.59,overcast clouds
244,Codrington,AU,-38.2667,141.9667,43.57,93,6,7.29,clear sky
245,Preobrazheniye,RU,42.9019,133.9064,51.19,92,99,4.32,overcast clouds
246,Hamilton,US,39.1834,-84.5333,84.83,80,0,4.0,clear sky
247,Tual,ID,-5.6667,132.75,82.2,77,30,17.09,scattered clouds
248,Mazatlan,MX,23.2167,-106.4167,83.01,75,1,5.01,clear sky
249,Dunhua,CN,43.3725,128.2425,49.08,73,100,1.86,overcast clouds
250,Ucluelet,CA,48.9329,-125.5528,55.09,82,0,3.0,clear sky
251,Lasa,IT,46.6166,10.7002,64.02,61,75,6.13,broken clouds
252,Ponta Delgada,PT,37.7333,-25.6667,65.12,100,75,6.91,light intensity drizzle
253,Monrovia,LR,6.3005,-10.7969,77.77,86,100,10.78,light rain
254,Muros,ES,42.7762,-9.0603,72.09,79,100,6.87,light rain
255,Broome,US,42.2506,-75.833,91.45,51,40,12.66,scattered clouds
256,Avera,US,33.194,-82.5271,87.85,34,100,7.2,overcast clouds
257,Calabozo,VE,8.9242,-67.4293,95.9,28,3,8.52,clear sky
258,Veraval,IN,20.9,70.3667,83.14,79,46,19.77,scattered clouds
259,Krasnogvardeyets,RU,52.6804,52.3635,38.12,90,8,8.19,clear sky
260,Halifax,CA,44.6453,-63.5724,64.29,58,12,8.01,few clouds
261,Kantang,TH,7.4054,99.5156,79.41,88,100,5.59,overcast clouds
262,Eureka,US,40.8021,-124.1637,63.12,70,100,5.01,overcast clouds
263,Bandarbeyla,SO,9.4942,50.8122,80.64,84,100,20.42,overcast clouds
264,Kenai,US,60.5544,-151.2583,64.02,57,100,7.7,overcast clouds
265,Verkh-Suetka,RU,53.3,80.05,63.68,49,100,9.13,overcast clouds
266,Laguna,US,38.421,-121.4238,82.44,20,0,8.05,clear sky
267,Russell,US,32.3502,-85.1999,89.91,37,100,5.91,overcast clouds
268,Caravelas,BR,-17.7125,-39.2481,75.29,63,2,8.57,clear sky
269,Anloga,GH,5.7947,0.8973,78.12,89,100,16.31,light rain
270,Tecpan,GT,14.7623,-90.9947,71.89,75,86,4.94,overcast clouds
271,Nizhnevartovsk,RU,60.9344,76.5531,46.42,81,0,11.18,clear sky
272,Oshawa,CA,43.9001,-78.8496,73.81,53,100,21.85,overcast clouds
273,Rio Grande,BR,-32.035,-52.0986,66.94,58,99,4.43,overcast clouds
274,Khandbari,NP,27.3747,87.2039,67.89,73,60,3.78,broken clouds
275,Khatanga,RU,71.9667,102.5,35.4,98,100,6.13,overcast clouds
276,Eyl,SO,7.9803,49.8164,83.41,70,82,21.43,broken clouds
277,Naze,JP,28.3667,129.4833,67.39,85,30,9.26,scattered clouds
278,Saquarema,BR,-22.92,-42.5103,69.48,73,6,6.87,clear sky
279,Luzilandia,BR,-3.4578,-42.3703,83.64,76,96,0.87,moderate rain
280,Talas,TR,38.6908,35.5538,56.07,54,0,0.0,clear sky
281,Zurrieq,MT,35.8311,14.4742,66.96,82,20,8.05,few clouds
282,Sangueya,GN,10.7,-14.3667,81.63,72,100,9.13,overcast clouds
283,Praia,CV,14.9215,-23.5087,75.74,60,20,17.27,few clouds
284,Mana,GF,5.6592,-53.7767,78.22,87,100,11.32,light rain
